date,close,ticker_indice_yf,short_name_indice
1997-01-01 00:00:00+00:00,6600.6602,^DJI,Dow Jones Industrial Average
1997-08-01 00:00:00+00:00,6762.29,^DJI,Dow Jones Industrial Average
,6883.8999,^DJI,Dow Jones Industrial Average
,6656.0801,^DJI,Dow Jones Industrial Average
,6833.48,^DJI,Dow Jones Industrial Average
1997-05-02 00:00:00+00:00,6858.1099,^DJI,Dow Jones Industrial Average
1997-12-02 00:00:00+00:00,7067.46,^DJI,Dow Jones Industrial Average
,7037.8301,^DJI,Dow Jones Industrial Average
,6852.7202,^DJI,Dow Jones Industrial Average
1997-05-03 00:00:00+00:00,7085.1602,^DJI,Dow Jones Industrial Average
1997-12-03 00:00:00+00:00,6896.5601,^DJI,Dow Jones Industrial Average
,6876.1699,^DJI,Dow Jones Industrial Average
,6611.0498,^DJI,Dow Jones Industrial Average
1997-02-04 00:00:00+00:00,6609.2002,^DJI,Dow Jones Industrial Average
1997-09-04 00:00:00+00:00,6587.1602,^DJI,Dow Jones Industrial Average
,6833.6001,^DJI,Dow Jones Industrial Average
,6962.0,^DJI,Dow Jones Industrial Average
,7225.2998,^DJI,Dow Jones Industrial Average
1997-07-05 00:00:00+00:00,7274.2002,^DJI,Dow Jones Industrial Average
,7303.5,^DJI,Dow Jones Industrial Average
,7383.3999,^DJI,Dow Jones Industrial Average
,7312.1001,^DJI,Dow Jones Industrial Average
1997-04-06 00:00:00+00:00,7539.27,^DJI,Dow Jones Industrial Average
1997-11-06 00:00:00+00:00,7760.7998,^DJI,Dow Jones Industrial Average
,7758.0601,^DJI,Dow Jones Industrial Average
,7722.2998,^DJI,Dow Jones Industrial Average
1997-02-07 00:00:00+00:00,7962.2998,^DJI,Dow Jones Industrial Average
1997-09-07 00:00:00+00:00,7975.7002,^DJI,Dow Jones Industrial Average
,8061.6001,^DJI,Dow Jones Industrial Average
,8174.5,^DJI,Dow Jones Industrial Average
,8187.5,^DJI,Dow Jones Industrial Average
1997-06-08 00:00:00+00:00,7960.7998,^DJI,Dow Jones Industrial Average
,7918.1001,^DJI,Dow Jones Industrial Average
,7782.2002,^DJI,Dow Jones Industrial Average
,7879.7998,^DJI,Dow Jones Industrial Average
1997-03-09 00:00:00+00:00,7851.8999,^DJI,Dow Jones Industrial Average
1997-10-09 00:00:00+00:00,7895.8999,^DJI,Dow Jones Industrial Average
,7970.1001,^DJI,Dow Jones Industrial Average
,7945.2998,^DJI,Dow Jones Industrial Average
1997-01-10 00:00:00+00:00,8178.2998,^DJI,Dow Jones Industrial Average
1997-08-10 00:00:00+00:00,8096.2998,^DJI,Dow Jones Industrial Average
,8060.3999,^DJI,Dow Jones Industrial Average
,7498.2998,^DJI,Dow Jones Industrial Average
,7689.1001,^DJI,Dow Jones Industrial Average
1997-05-11 00:00:00+00:00,7558.7002,^DJI,Dow Jones Industrial Average
1997-12-11 00:00:00+00:00,7650.7998,^DJI,Dow Jones Industrial Average
,7809.0,^DJI,Dow Jones Industrial Average
,8018.7998,^DJI,Dow Jones Industrial Average
1997-03-12 00:00:00+00:00,8049.7002,^DJI,Dow Jones Industrial Average
1997-10-12 00:00:00+00:00,7976.2998,^DJI,Dow Jones Industrial Average
,7691.7998,^DJI,Dow Jones Industrial Average
,7916.0,^DJI,Dow Jones Industrial Average
,7906.25,^DJI,Dow Jones Industrial Average
1998-07-01 00:00:00+00:00,7732.1001,^DJI,Dow Jones Industrial Average
,7873.1001,^DJI,Dow Jones Industrial Average
,7815.0801,^DJI,Dow Jones Industrial Average
,8160.3501,^DJI,Dow Jones Industrial Average
1998-04-02 00:00:00+00:00,8295.6104,^DJI,Dow Jones Industrial Average
1998-11-02 00:00:00+00:00,8398.5,^DJI,Dow Jones Industrial Average
,8370.0996,^DJI,Dow Jones Industrial Average
,8584.8301,^DJI,Dow Jones Industrial Average
1998-04-03 00:00:00+00:00,8643.1201,^DJI,Dow Jones Industrial Average
1998-11-03 00:00:00+00:00,8749.9902,^DJI,Dow Jones Industrial Average
,8904.4404,^DJI,Dow Jones Industrial Average
,8799.8096,^DJI,Dow Jones Industrial Average
1998-01-04 00:00:00+00:00,8956.5,^DJI,Dow Jones Industrial Average
1998-08-04 00:00:00+00:00,9110.2002,^DJI,Dow Jones Industrial Average
,9184.9404,^DJI,Dow Jones Industrial Average
,8898.96,^DJI,Dow Jones Industrial Average
,9147.5703,^DJI,Dow Jones Industrial Average
1998-06-05 00:00:00+00:00,9161.7695,^DJI,Dow Jones Industrial Average
,9054.6504,^DJI,Dow Jones Industrial Average
,8963.7305,^DJI,Dow Jones Industrial Average
,8891.2402,^DJI,Dow Jones Industrial Average
1998-03-06 00:00:00+00:00,9049.9199,^DJI,Dow Jones Industrial Average
1998-10-06 00:00:00+00:00,8665.29,^DJI,Dow Jones Industrial Average
,8828.46,^DJI,Dow Jones Industrial Average
,8952.0195,^DJI,Dow Jones Industrial Average
1998-01-07 00:00:00+00:00,9085.04,^DJI,Dow Jones Industrial Average
1998-08-07 00:00:00+00:00,9245.54,^DJI,Dow Jones Industrial Average
,9190.1904,^DJI,Dow Jones Industrial Average
,8934.7803,^DJI,Dow Jones Industrial Average
,8487.3096,^DJI,Dow Jones Industrial Average
1998-05-08 00:00:00+00:00,8462.8496,^DJI,Dow Jones Industrial Average
1998-12-08 00:00:00+00:00,8714.6504,^DJI,Dow Jones Industrial Average
